

Training : at 	1526657285.113383
 Epoch :0, 	Average cost:2.1834128344500505

 Dev Accuracy : 20.97902097902098
 Average Dev Cost : 
 2.1802
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
sentence:word			Antonym	MadeOf
order:class			Antonym	MemberOf
art:science			Antonym	Antonym
book:note			Antonym	Synonym
rubbish:waste			Antonym	IsA
copy:text			Antonym	IsA
school:university			Antonym	Synonym
cold:heat			Antonym	Antonym
lake:water			Antonym	HasA
house:bedroom			Antonym	HasA
study:school			Antonym	IsA
school:out			Antonym	HasProperty
lobby:room			Antonym	IsA
child:fun			Antonym	HasA
home:comfort			Antonym	IsA
library:book			Antonym	HasA
voice:sound			Antonym	HasProperty
place:spot			Antonym	Synonym
pupil:student			Antonym	Synonym
share:stock			Antonym	Synonym
problem:question			Antonym	IsA
dog:pet			Antonym	IsA
action:energy			Antonym	Synonym
move:change			Antonym	IsA
work:book			Antonym	IsA
water:drink			Antonym	IsA
order:law			Antonym	Synonym
shop:buy			Antonym	Entails
head:subject			Antonym	Synonym
garden:flower			Antonym	HasA
door:window			Antonym	Antonym
box:something			Antonym	HasA
library:collection			Antonym	IsA
metal:plastic			Antonym	Antonym
data:bit			Antonym	MadeOf
computer:keyboard			Antonym	HasA
end:part			Antonym	IsA
rock:stone			Antonym	Synonym
news:newspaper			Antonym	PartOf
husband:family			Antonym	PartOf
computer:tool			Antonym	IsA
index:text			Antonym	PartOf
author:writer			Antonym	Synonym
office:window			Antonym	HasA
apartment:house			Antonym	IsA
water:liquid			Antonym	HasProperty
index:book			Antonym	PartOf
parent:family			Antonym	PartOf
man:wife			Antonym	Antonym
god:one			Antonym	HasProperty
program:work			Antonym	IsA
part:member			Antonym	Synonym
honesty:integrity			Antonym	Synonym
study:house			Antonym	PartOf
kingdom:country			Antonym	IsA
boy:girl			Antonym	Antonym
crime:justice			Antonym	Antonym
john:man			Antonym	Synonym
wine:fruit			Antonym	MadeOf
service:function			Antonym	IsA
oxygen:atmosphere			Antonym	PartOf
read:write			Antonym	Antonym
order:family			Antonym	Synonym
cat:fur			Antonym	MadeOf
number:scale			Antonym	PartOf
chair:table			Antonym	Antonym
work:leisure			Antonym	Antonym
knife:blade			Antonym	Synonym
world:ocean			Antonym	HasA
religion:science			Antonym	Antonym
line:text			Antonym	IsA
navy:marine			Antonym	Antonym
bottle:wine			Antonym	HasA
word:speech			Antonym	IsA
lamp:light			Antonym	IsA
drive:work			Antonym	IsA
voice:sound			Antonym	IsA
world:water			Antonym	HasProperty
word:phrase			Antonym	PartOf
human:animal			Antonym	IsA
eye:needle			Antonym	PartOf
memory:experience			Antonym	MadeOf
christian:church			Antonym	MemberOf
puff:smoke			Antonym	Entails
number:count			Antonym	Synonym
furniture:wood			Antonym	MadeOf
waste:use			Antonym	Antonym
human:social			Antonym	HasProperty
point:end			Antonym	Synonym
whole:part			Antonym	MadeOf
change:money			Antonym	IsA
steel:iron			Antonym	HasA
order:direction			Antonym	Synonym
time:change			Antonym	HasProperty
letter:text			Antonym	IsA
wheel:car			Antonym	PartOf
object:surface			Antonym	HasA
time:move			Antonym	HasProperty
information:democracy			Antonym	IsA
chapter:book			Antonym	PartOf
paper:wood			Antonym	MadeOf
disease:problem			Antonym	HasProperty
bread:meat			Antonym	Antonym
earth:surface			Antonym	HasA
map:book			Antonym	PartOf
queen:royal			Antonym	HasProperty
beach:sand			Antonym	HasA
car:seat			Antonym	HasA
world:big			Antonym	HasProperty
cloud:sky			Antonym	PartOf
fire:light			Antonym	HasProperty
movie:story			Antonym	IsA
support:act			Antonym	IsA
husband:wife			Antonym	Antonym
story:interest			Antonym	HasProperty
head:tail			Antonym	Antonym
sound:vision			Antonym	Antonym
stage:screen			Antonym	Antonym
ship:vessel			Antonym	IsA
capital:city			Antonym	IsA
tax:money			Antonym	MadeOf
book:magazine			Antonym	IsA
staff:school			Antonym	MemberOf
war:violence			Antonym	MadeOf
bedroom:house			Antonym	PartOf
child:person			Antonym	IsA
part:whole			Antonym	PartOf
word:letter			Antonym	HasA
gas:oil			Antonym	Antonym
story:newspaper			Antonym	PartOf
mind:brain			Antonym	Synonym
point:place			Antonym	Synonym
toilet:room			Antonym	IsA
work:practice			Antonym	Synonym
morning:night			Antonym	Antonym
island:place			Antonym	IsA
men:woman			Antonym	Antonym
bridge:stone			Antonym	MadeOf
past:life			Antonym	PartOf
sheet:page			Antonym	Synonym
glass:window			Antonym	PartOf
benefit:help			Antonym	Synonym
test:practice			Antonym	Antonym
house:light			Antonym	HasA
heart:love			Antonym	Synonym
water:oxygen			Antonym	HasA
world:material			Antonym	MadeOf
down:up			Antonym	Antonym
team:individual			Antonym	Antonym
time:everything			Antonym	IsA
chicken:egg			Antonym	Antonym
air:gas			Antonym	MadeOf
bill:money			Antonym	IsA
enemy:friend			Antonym	Antonym
control:power			Antonym	IsA
question:problem			Antonym	Synonym
fire:water			Antonym	Antonym
lease:rent			Antonym	Synonym
pay:payment			Antonym	IsA
minister:work			Antonym	IsA
power:weight			Antonym	Synonym
baby:love			Antonym	Synonym
box:case			Antonym	Synonym
sentence:word			Antonym	HasA
play:drama			Antonym	Synonym
king:queen			Antonym	Antonym
disease:illness			Antonym	Synonym
rest:place			Antonym	Synonym
age:change			Antonym	IsA
juice:fruit			Antonym	MadeOf
sole:foot			Antonym	PartOf
organ:instrument			Antonym	IsA
rest:peace			Antonym	Synonym
wood:material			Antonym	IsA
nation:state			Antonym	Synonym
river:water			Antonym	MadeOf
high:low			Antonym	Antonym
touch:contact			Antonym	HasProperty
child:parent			Antonym	HasA
game:action			Antonym	IsA
music:information			Antonym	HasA
breast:chicken			Antonym	PartOf
science:fun			Antonym	HasProperty
death:life			Antonym	PartOf
problem:solution			Antonym	Antonym
shower:rain			Antonym	IsA
life:experience			Antonym	IsA
hospital:patient			Antonym	HasA
book:text			Antonym	HasA
party:event			Antonym	IsA
bedroom:bathroom			Antonym	Antonym
continent:country			Antonym	HasA
soldier:army			Antonym	PartOf
program:performance			Antonym	IsA
function:use			Antonym	Synonym
part:share			Antonym	Synonym
coffee:tea			Antonym	Antonym
road:place			Antonym	IsA
fact:album			Antonym	IsA
house:window			Antonym	HasA
head:animal			Antonym	PartOf
book:paper			Antonym	MadeOf
company:business			Antonym	Synonym
person:belief			Antonym	HasA
purpose:plan			Antonym	Synonym
child:parent			Antonym	Antonym
person:race			Antonym	Synonym
heart:spirit			Antonym	Synonym
movie:story			Antonym	HasA
drive:power			Antonym	IsA
apartment:kitchen			Antonym	HasA
science:interest			Antonym	HasProperty
football:ball			Antonym	IsA
age:life			Antonym	PartOf
bed:bedroom			Antonym	PartOf
head:top			Antonym	IsA
knowledge:information			Antonym	Synonym
ice:water			Antonym	IsA
park:garden			Antonym	Synonym
form:word			Antonym	IsA
face:look			Antonym	Synonym
garden:home			Antonym	Antonym
king:queen			Antonym	HasA
sport:fun			Antonym	HasProperty
fear:safety			Antonym	Antonym
performance:test			Antonym	HasProperty
floor:wood			Antonym	MadeOf
show:entertainment			Antonym	IsA
room:home			Antonym	IsA
bread:food			Antonym	IsA
action:play			Antonym	IsA
pain:illness			Antonym	IsA
plant:root			Antonym	HasA
report:story			Antonym	IsA
sea:beach			Antonym	Antonym
stream:water			Antonym	HasA
park:mountain			Antonym	HasA
performance:show			Antonym	IsA
war:violence			Antonym	IsA
radio:television			Antonym	Antonym
department:place			Antonym	IsA
music:tv			Antonym	IsA
book:film			Antonym	Antonym
state:country			Antonym	MemberOf
hotel:business			Antonym	IsA
blue:red			Antonym	Antonym
garden:yard			Antonym	IsA
idea:image			Antonym	Synonym
deck:ship			Antonym	PartOf
police:government			Antonym	PartOf
football:ball			Antonym	Synonym
shop:buy			Antonym	IsA
faith:trust			Antonym	Synonym
death:life			Antonym	Antonym
book:information			Antonym	HasA
board:table			Antonym	Synonym
purpose:effect			Antonym	Synonym
history:future			Antonym	Antonym
movement:change			Antonym	IsA
car:traffic			Antonym	PartOf
life:experience			Antonym	Synonym
sea:water			Antonym	MadeOf
grass:water			Antonym	Antonym
captain:team			Antonym	PartOf
wall:house			Antonym	PartOf
japan:asia			Antonym	PartOf
question:statement			Antonym	Antonym
play:fun			Antonym	IsA
person:individual			Antonym	IsA
account:record			Antonym	Synonym
head:body			Antonym	PartOf
deal:trade			Antonym	Synonym
sheet:paper			Antonym	IsA
land:water			Antonym	Antonym
star:sun			Antonym	IsA
range:scale			Antonym	IsA
trade:commerce			Antonym	IsA
screen:television			Antonym	PartOf
freedom:liberty			Antonym	Synonym
cotton:wool			Antonym	Antonym
growth:increase			Antonym	Synonym
point:mark			Antonym	Synonym
paper:metal			Antonym	Antonym
dance:art			Antonym	IsA
action:movement			Antonym	Synonym
body:spirit			Antonym	Antonym
bedroom:bed			Antonym	HasA
department:division			Antonym	IsA
screen:tv			Antonym	PartOf
nothing:something			Antonym	Antonym
book:idea			Antonym	HasA
green:place			Antonym	IsA
article:newspaper			Antonym	PartOf
family:order			Antonym	MemberOf
space:time			Antonym	Antonym
earth:moon			Antonym	HasA
school:department			Antonym	Synonym
trade:business			Antonym	IsA
dog:tail			Antonym	HasA
computer:software			Antonym	HasA
health:sickness			Antonym	Antonym
woman:breast			Antonym	HasA
car:train			Antonym	MemberOf
meal:food			Antonym	HasA
history:story			Antonym	Synonym
record:information			Antonym	HasA
side:face			Antonym	Synonym
university:school			Antonym	IsA
side:edge			Antonym	Synonym
