

Training : at 	1526647374.9630666
 Epoch :0, 	Average cost:2.1537230986135976

 Dev Accuracy : 18.181818181818183
 Average Dev Cost : 
 2.1344
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
dog:tail			IsA	HasA
floor:carpet			Synonym	Antonym
minister:work			Antonym	IsA
dog:pet			Antonym	IsA
college:school			Antonym	Synonym
keyboard:key			IsA	HasA
steam:water			Antonym	MadeOf
woman:job			Synonym	HasA
bedroom:floor			Antonym	HasA
cell:tissue			PartOf	PartOf
car:bike			Antonym	Antonym
room:house			Synonym	PartOf
beach:place			IsA	IsA
meat:fat			PartOf	HasA
air:earth			Synonym	Antonym
story:interest			Antonym	HasProperty
author:book			IsA	PartOf
purpose:plan			Antonym	Synonym
moon:sun			PartOf	Antonym
house:kitchen			Antonym	HasA
time:everything			Antonym	IsA
sport:entertainment			IsA	IsA
music:entertainment			IsA	PartOf
time:fleet			IsA	HasProperty
score:number			Antonym	IsA
sport:club			IsA	IsA
day:night			Antonym	Antonym
design:pattern			IsA	Synonym
book:library			IsA	PartOf
screen:television			PartOf	PartOf
soldier:war			Synonym	PartOf
bill:money			Antonym	IsA
sky:sea			Antonym	Antonym
arch:bridge			IsA	PartOf
earth:land			Antonym	Synonym
movie:story			Synonym	HasA
room:home			Synonym	IsA
race:fun			IsA	HasProperty
support:pressure			Antonym	Antonym
cast:film			IsA	Entails
increase:rise			IsA	Synonym
navy:marine			Antonym	Antonym
joy:pain			Synonym	Antonym
friend:person			Antonym	IsA
gun:knife			Antonym	Antonym
sound:vision			Antonym	Antonym
work:tax			IsA	HasProperty
bank:work			IsA	IsA
house:door			Antonym	HasA
set:number			IsA	HasA
table:text			PartOf	PartOf
nice:france			PartOf	PartOf
order:class			IsA	Synonym
trade:exchange			Antonym	IsA
family:order			PartOf	PartOf
university:college			IsA	IsA
point:time			IsA	Synonym
word:dictionary			IsA	PartOf
mouth:head			IsA	PartOf
staff:school			PartOf	MemberOf
disease:health			IsA	Antonym
spring:season			PartOf	IsA
night:time			IsA	IsA
