

Training : at 	1527604037.670242
 Epoch :0, 	Average cost:2.498381671152617

 Dev Accuracy : 42.0
 Average Dev Cost : 
 1.6228
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
sword:dagger			coord	coord
jacket:back			mero	mero
horse:race			mero	event
elephant:rhino			coord	coord
castle:king			coord	mero
hospital:doctor			coord	mero
pub:bar			coord	mero
hotel:great			coord	random-j
onion:carrot			coord	coord
bag:leather			coord	mero
oven:gas			coord	mero
wardrobe:clothes			coord	mero
lettuce:cucumber			coord	coord
castle:home			coord	hyper
lemon:orange			coord	coord
horse:pig			coord	coord
library:work			mero	event
hotel:shop			coord	coord
guitar:saxophone			coord	coord
car:passenger			coord	mero
television:control			coord	mero
trout:fish			coord	event
clarinet:saxophone			coord	coord
goods:services			coord	random-n
cat:dog			coord	coord
elephant:trunk			coord	mero
birch:willow			coord	coord
table:cover			coord	event
violin:clarinet			coord	coord
cottage:castle			coord	coord
oven:cook			coord	event
car:fuel			mero	event
restaurant:chef			coord	mero
motorcycle:vehicle			coord	hyper
guitar:voice			coord	random-n
car:metal			coord	mero
car:light			mero	mero
chair:work			mero	event
bed:stay			coord	event
fridge:use			coord	event
hotel:desk			coord	mero
car:floor			coord	mero
hotel:manager			coord	mero
van:door			mero	mero
robin:thrush			coord	hyper
guitar:violin			coord	coord
car:call			mero	random-v
piano:saxophone			coord	coord
eagle:bird			coord	hyper
library:seminar			coord	random-n
bag:box			coord	coord
library:door			coord	mero
restaurant:drink			coord	event
villa:hotel			coord	coord
train:point			mero	random-n
guitar:mandolin			coord	coord
horse:neck			coord	mero
knife:weapon			coord	hyper
train:engine			coord	mero
chair:furniture			coord	hyper
herring:mackerel			coord	coord
villa:floor			coord	mero
wardrobe:bed			coord	coord
train:coach			coord	mero
shirt:cotton			coord	mero
hospital:need			mero	random-v
mackerel:fish			coord	event
pub:work			coord	event
table:furniture			coord	hyper
fox:head			coord	mero
cottage:owner			mero	mero
box:colour			coord	mero
cello:clarinet			coord	coord
car:work			coord	event
phone:button			coord	mero
library:old			coord	attri
garlic:cook			coord	event
library:site			mero	hyper
cottage:door			coord	mero
salmon:herring			coord	coord
hat:coat			coord	coord
castle:house			coord	hyper
radio:research			coord	random-v
bottle:glass			coord	mero
stereo:music			coord	mero
apple:juice			coord	mero
stove:fridge			coord	coord
elephant:giraffe			coord	coord
sofa:chair			coord	coord
carp:fish			coord	hyper
cottage:luxury			coord	attri
van:car			coord	coord
table:name			mero	random-v
library:political			coord	random-j
library:institution			coord	hyper
library:state			coord	random-n
shirt:socks			coord	coord
carrot:onion			coord	coord
bowl:milk			coord	mero
pigeon:dove			coord	coord
trumpet:piano			coord	coord
ferry:bus			coord	coord
dress:silk			coord	mero
shirt:jacket			coord	coord
bottle:milk			coord	mero
desk:study			coord	event
bed:chair			coord	coord
van:driver			coord	mero
salmon:tuna			coord	coord
train:travel			coord	event
clarinet:flute			coord	coord
cottage:floor			coord	mero
oven:bake			coord	event
restaurant:pub			coord	coord
hotel:run			coord	event
hotel:pool			mero	mero
car:cost			mero	event
freezer:food			coord	mero
car:ride			mero	event
television:cable			coord	mero
hotel:wine			coord	random-n
cat:fur			coord	mero
cottage:home			coord	hyper
tuna:salmon			coord	coord
pine:oak			coord	coord
castle:accommodation			coord	hyper
violin:cello			coord	coord
hotel:inn			coord	coord
train:rail			coord	mero
bull:director			coord	random-n
hospital:new			coord	attri
guitar:cello			coord	coord
goat:sheep			coord	coord
hospital:risk			mero	random-n
cottage:bathroom			coord	mero
piano:guitar			coord	coord
hotel:accommodation			coord	hyper
hawk:owl			coord	coord
gun:fire			coord	event
gun:barrel			coord	mero
car:ferry			coord	coord
table:support			coord	event
bus:board			mero	event
library:book			mero	mero
gun:knife			coord	coord
knife:spoon			coord	coord
cottage:garage			coord	mero
guitar:banjo			coord	coord
onion:celery			coord	coord
radio:phone			coord	coord
trumpet:horn			coord	coord
cathedral:church			coord	hyper
hotel:stone			coord	mero
hospital:campaign			mero	random-n
phone:dial			coord	mero
hospital:school			coord	coord
hotel:century			mero	random-n
hammer:nail			coord	event
hospital:district			coord	random-n
car:use			mero	event
hospital:person			mero	mero
car:diesel			coord	mero
box:square			coord	attri
hotel:cottage			coord	coord
library:room			coord	mero
pub:new			mero	attri
sheep:farm			coord	event
truck:car			coord	coord
bag:paper			coord	mero
train:stop			mero	event
bottle:wine			coord	mero
pear:apple			coord	coord
