

Training : at 	1527774217.1656427
 Epoch :0, 	Average cost:3.33992484368776

 Dev Accuracy : 46.0
 Average Dev Cost : 
 1.8338
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
hotel:villa			coord	coord
mackerel:salmon			coord	coord
truck:van			coord	coord
elephant:giraffe			coord	coord
cat:rabbit			coord	coord
herring:fish			coord	hyper
cello:violin			coord	coord
bed:spring			coord	mero
box:side			mero	mero
castle:siege			mero	event
flute:clarinet			coord	coord
bus:ride			mero	event
ferry:travel			coord	event
car:back			mero	mero
castle:old			mero	attri
fridge:door			coord	mero
hotel:county			mero	random-n
phone:use			mero	event
radio:broadcast			coord	event
hotel:range			mero	random-v
car:window			mero	mero
eagle:vulture			coord	coord
horse:bit			coord	mero
castle:moat			mero	mero
restaurant:drink			mero	event
box:object			coord	hyper
bag:table			coord	random-n
vulture:eagle			coord	coord
hospital:visit			coord	event
train:track			coord	mero
piano:guitar			coord	coord
castle:queen			mero	mero
dress:hat			coord	coord
dress:gown			coord	mero
hotel:parking			mero	mero
potato:onion			coord	coord
library:room			coord	mero
fox:dog			coord	coord
box:case			coord	coord
horse:foot			coord	mero
hospital:chapel			coord	mero
bed:sleep			coord	event
car:base			mero	random-n
bus:truck			coord	coord
restaurant:manager			mero	mero
jacket:hood			coord	mero
salmon:mackerel			coord	coord
bus:passenger			mero	mero
chair:work			coord	event
fox:head			coord	mero
table:play			coord	event
guitar:harmonica			coord	coord
cathedral:bishop			coord	mero
horse:head			coord	mero
horse:mouth			coord	mero
box:lid			mero	mero
bed:wood			mero	mero
pub:table			mero	mero
cat:general			coord	random-n
sheep:pig			coord	coord
carp:barbel			coord	mero
vulture:hawk			mero	coord
hospital:notice			mero	random-n
box:bag			coord	coord
castle:new			mero	attri
bed:desk			coord	coord
wardrobe:bed			coord	coord
car:drive			mero	event
cathedral:castle			coord	coord
car:light			mero	mero
restaurant:food			mero	mero
library:institution			coord	hyper
phone:sound			mero	event
jacket:fleece			coord	coord
fridge:use			coord	event
crow:nest			mero	event
library:construction			mero	hyper
knife:blade			coord	mero
desk:bed			coord	coord
dress:music			coord	random-n
shirt:back			coord	mero
castle:room			mero	mero
hotel:pool			mero	mero
stove:wood			mero	mero
oven:bake			coord	event
stove:fridge			coord	coord
hotel:desk			mero	mero
train:new			mero	attri
cow:pig			coord	coord
box:club			coord	random-n
guitar:banjo			coord	coord
restaurant:floor			mero	mero
lion:elephant			coord	coord
horse:saddle			coord	mero
pigeon:dove			coord	coord
cottage:stone			mero	mero
goose:duck			coord	coord
hospital:risk			coord	random-n
cathedral:choir			mero	mero
villa:floor			mero	mero
castle:tower			mero	mero
hammer:anvil			coord	coord
eagle:falcon			coord	coord
phone:cable			mero	mero
hospital:school			coord	coord
car:speed			mero	event
car:belt			mero	mero
chair:desk			coord	coord
trout:fish			coord	hyper
gun:ammunition			coord	mero
apple:banana			coord	coord
table:cover			coord	mero
gun:knife			coord	coord
box:store			coord	event
cat:head			coord	mero
cello:clarinet			coord	coord
hotel:pub			coord	coord
cow:goat			coord	coord
hotel:room			mero	mero
television:channel			coord	mero
saxophone:guitar			coord	coord
bowl:milk			mero	mero
library:student			coord	mero
lion:bear			coord	coord
train:transport			coord	event
dress:silk			mero	mero
hotel:castle			coord	coord
restaurant:bar			mero	mero
castle:home			mero	hyper
flute:guitar			coord	coord
hotel:variety			mero	random-n
library:book			coord	mero
box:edge			mero	mero
train:ride			coord	event
horse:tail			coord	mero
box:wood			mero	mero
castle:visitor			mero	mero
oven:gas			coord	mero
castle:street			mero	random-n
mackerel:tuna			coord	coord
oven:toaster			coord	coord
guitar:violin			mero	coord
chair:commission			coord	random-v
shirt:jacket			mero	coord
oven:steel			coord	mero
bowl:unit			coord	random-n
phone:computer			coord	coord
box:container			coord	hyper
sheep:horse			coord	coord
fridge:washer			coord	coord
wardrobe:desk			coord	coord
library:person			coord	mero
car:oil			mero	mero
coat:collar			coord	mero
ferry:bus			coord	coord
cathedral:church			mero	hyper
hat:jacket			coord	coord
sheep:meat			mero	mero
table:study			coord	event
helicopter:aircraft			coord	hyper
freezer:dishwasher			coord	coord
sheep:goat			coord	coord
cow:milk			mero	event
cottage:floor			mero	mero
freezer:oven			coord	coord
box:inside			mero	mero
television:video			coord	mero
oak:birch			coord	coord
snake:head			coord	mero
bag:top			coord	random-v
bowl:mix			coord	event
bus:bike			coord	coord
castle:building			mero	hyper
dress:trousers			coord	coord
restaurant:table			mero	mero
hotel:favourite			mero	attri
car:bus			coord	coord
fridge:food			mero	mero
yacht:boat			coord	hyper
horse:donkey			coord	coord
cabbage:broccoli			coord	coord
car:rear			mero	mero
castle:prince			mero	mero
bus:vehicle			coord	hyper
fridge:freezer			coord	coord
bed:furniture			coord	hyper
car:park			mero	event
hospital:transfer			coord	event
garlic:parsley			coord	coord
restaurant:shop			coord	coord
hotel:hospital			mero	coord
television:phone			coord	coord
banana:fruit			coord	hyper
cello:flute			coord	coord
car:brake			mero	event
horse:pig			coord	coord
garlic:fry			mero	event
restaurant:library			mero	coord
cat:dog			coord	coord
clarinet:saxophone			coord	coord
guitar:organ			coord	coord
cottage:accommodation			coord	hyper
box:top			coord	mero
oak:willow			coord	coord
car:fuel			mero	event
truck:vehicle			coord	hyper
cottage:wood			mero	mero
sofa:bed			coord	coord
lemon:orange			coord	coord
sheep:head			coord	mero
car:roof			mero	mero
hat:scarf			mero	coord
horse:farm			coord	event
hotel:great			mero	random-j
villa:hotel			coord	coord
cottage:new			mero	attri
hospital:center			coord	mero
car:petrol			mero	mero
phone:ring			mero	event
car:photo			mero	random-n
mug:tea			coord	mero
library:old			coord	attri
restaurant:castle			coord	coord
television:telephone			coord	coord
table:chair			coord	coord
television:system			coord	hyper
pine:birch			coord	coord
onion:carrot			coord	coord
cathedral:worship			mero	event
hospital:unit			coord	mero
shirt:collar			mero	mero
library:catalogue			coord	mero
bottle:box			coord	coord
chair:bed			coord	coord
table:new			coord	attri
freezer:food			mero	mero
deer:sheep			coord	coord
spinach:broccoli			coord	coord
carrot:celery			coord	coord
parsley:garlic			coord	coord
desk:study			mero	event
hotel:guest			mero	mero
table:wood			mero	mero
cello:piano			coord	coord
phone:support			mero	random-v
bag:pack			coord	event
pub:drink			mero	mero
trumpet:piano			coord	coord
villa:garden			coord	mero
car:door			mero	mero
cat:pet			coord	hyper
pub:bar			mero	coord
table:date			coord	random-v
villa:luxury			mero	attri
hospital:ward			mero	mero
axe:head			mero	mero
jacket:hat			coord	coord
shirt:sleeve			coord	mero
box:basket			coord	coord
car:new			mero	attri
bed:sofa			coord	coord
hospital:campaign			mero	random-n
horse:neck			mero	mero
desk:support			coord	event
bed:new			coord	attri
television:directive			mero	random-n
oak:tree			coord	hyper
flute:violin			coord	coord
castle:royal			mero	attri
bottle:glass			coord	mero
villa:bedroom			mero	mero
hospital:surgeon			coord	mero
car:board			mero	random-n
radio:channel			coord	mero
piano:flute			mero	coord
bus:stop			mero	event
hotel:construction			mero	hyper
shirt:cotton			mero	mero
gun:fire			coord	event
hotel:bar			mero	mero
bottle:wine			coord	mero
villa:accommodation			coord	hyper
bowl:soup			mero	mero
restaurant:store			coord	coord
oven:water			coord	random-n
hospital:new			mero	attri
box:form			mero	random-v
wardrobe:clothing			coord	mero
pistol:rifle			coord	coord
television:computer			coord	coord
chair:labour			mero	random-n
radio:system			coord	hyper
coat:scarf			mero	coord
dress:clothing			coord	hyper
car:wheel			mero	mero
hotel:garden			mero	mero
car:gear			mero	mero
van:driver			coord	mero
dress:jacket			coord	coord
table:cloth			mero	mero
