

Training : at 	1527607955.6948347
 Epoch :0, 	Average cost:3.453185992294483

 Dev Accuracy : 32.20338983050847
 Average Dev Cost : 
 1.9909
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
university:place			IsA	IsA
state:city			IsA	HasA
house:audience			IsA	IsA
earth:soil			IsA	Synonym
envelope:letter			IsA	HasA
door:car			IsA	PartOf
floor:carpet			IsA	HasProperty
center:place			IsA	IsA
basketball:sport			IsA	IsA
nature:industry			IsA	Antonym
land:soil			IsA	Synonym
point:knife			IsA	PartOf
organ:instrument			IsA	IsA
leader:follower			IsA	HasA
tongue:mouth			IsA	PartOf
john:man			IsA	Synonym
air:weight			IsA	HasA
food:eat			IsA	Synonym
house:black			IsA	HasProperty
pool:group			IsA	IsA
village:country			IsA	PartOf
star:galaxy			IsA	MemberOf
ring:gold			IsA	MadeOf
lease:rent			IsA	Synonym
cover:book			IsA	PartOf
mind:heart			IsA	Antonym
ride:park			IsA	Antonym
time:newspaper			IsA	IsA
order:peace			IsA	Synonym
eye:lens			IsA	HasA
play:use			IsA	IsA
leg:body			IsA	PartOf
atmosphere:air			IsA	IsA
bias:prejudice			IsA	IsA
america:world			IsA	PartOf
drug:medicine			IsA	Synonym
population:person			IsA	IsA
music:talk			IsA	Antonym
galaxy:universe			IsA	PartOf
church:temple			IsA	Antonym
organization:order			IsA	Synonym
cloud:sky			IsA	PartOf
hop:jump			IsA	Antonym
set:place			IsA	IsA
fire:fireplace			IsA	IsA
language:phrase			IsA	Synonym
lot:crowd			IsA	Synonym
column:table			IsA	PartOf
black:white			IsA	Antonym
faith:confidence			IsA	Synonym
ship:vessel			IsA	IsA
day:morning			IsA	Antonym
bottle:glass			IsA	MadeOf
lady:man			IsA	Antonym
gold:value			IsA	HasA
castle:place			IsA	IsA
toilet:bathroom			IsA	Synonym
dinner:meal			IsA	IsA
begin:end			IsA	Antonym
oxygen:atmosphere			IsA	PartOf
mountain:land			IsA	MadeOf
sea:blue			IsA	HasProperty
face:body			IsA	PartOf
church:altar			IsA	HasA
change:money			IsA	IsA
head:hammer			IsA	PartOf
city:state			IsA	Antonym
person:skin			Antonym	HasA
pitch:play			IsA	IsA
river:stream			IsA	Antonym
comfort:support			IsA	IsA
body:human			IsA	PartOf
group:band			IsA	Synonym
act:action			IsA	Synonym
trouble:life			IsA	PartOf
nucleus:cell			IsA	PartOf
dance:art			IsA	IsA
bedroom:bathroom			IsA	Antonym
art:creation			IsA	IsA
everyone:value			IsA	HasA
farm:town			IsA	Antonym
bread:flour			IsA	MadeOf
word:letter			IsA	MadeOf
sheet:page			IsA	Synonym
galaxy:universe			IsA	MemberOf
car:seat			IsA	HasA
child:fun			IsA	HasA
earth:gravity			IsA	HasA
pleasure:happiness			IsA	Synonym
field:forest			Antonym	Antonym
tool:metal			IsA	MadeOf
night:dark			IsA	HasProperty
leaf:tree			IsA	PartOf
board:surface			IsA	IsA
party:work			IsA	Antonym
cookie:text			IsA	IsA
peace:order			IsA	IsA
vision:dream			IsA	Synonym
drive:ride			IsA	Synonym
story:interest			IsA	HasProperty
pupil:student			IsA	Synonym
gold:silver			IsA	Antonym
dress:coat			IsA	Synonym
house:tv			IsA	HasA
answer:question			IsA	Antonym
argument:conclusion			IsA	PartOf
organism:disease			IsA	HasA
body:organ			IsA	HasA
person:social			IsA	HasProperty
sea:water			IsA	MadeOf
edge:sword			IsA	PartOf
second:minute			IsA	PartOf
blue:white			IsA	Antonym
crop:plant			IsA	IsA
japan:pacific			IsA	PartOf
war:violence			IsA	IsA
man:wife			IsA	Antonym
book:interest			IsA	HasProperty
room:door			IsA	HasA
scene:movie			IsA	PartOf
father:parent			IsA	IsA
language:communication			IsA	IsA
floor:hallway			IsA	PartOf
study:school			Antonym	IsA
star:constellation			IsA	MemberOf
feature:article			IsA	Synonym
note:scale			IsA	MemberOf
america:country			IsA	IsA
horse:foot			IsA	HasA
travel:fun			IsA	HasProperty
butter:milk			IsA	MadeOf
baby:family			IsA	PartOf
sound:nothing			IsA	Antonym
stone:high			IsA	Synonym
sun:company			IsA	IsA
shop:store			IsA	Synonym
house:wood			IsA	MadeOf
beam:light			IsA	IsA
movement:change			IsA	IsA
table:plate			IsA	Antonym
action:work			IsA	IsA
act:drama			IsA	IsA
share:stock			IsA	Synonym
salt:vinegar			IsA	Antonym
knowledge:freedom			IsA	IsA
china:country			IsA	IsA
cover:report			IsA	Synonym
fun:life			IsA	PartOf
i:answer			IsA	HasA
rain:water			IsA	IsA
confidence:fear			IsA	Antonym
house:stone			IsA	MadeOf
story:truth			IsA	Antonym
child:fun			IsA	HasProperty
spine:body			IsA	PartOf
pain:life			IsA	PartOf
part:hair			IsA	PartOf
article:document			IsA	PartOf
data:bit			IsA	MadeOf
science:magic			IsA	Antonym
buy:sell			IsA	Antonym
forest:nature			IsA	PartOf
factory:place			IsA	IsA
family:business			IsA	IsA
car:roof			IsA	HasA
meat:vegetable			IsA	Antonym
one:song			IsA	IsA
master:person			IsA	IsA
glass:sand			IsA	MadeOf
memory:experience			IsA	MadeOf
crime:book			IsA	IsA
gas:oil			IsA	Antonym
gun:war			IsA	PartOf
window:house			Antonym	PartOf
word:dictionary			IsA	PartOf
performance:show			IsA	IsA
stand:support			IsA	Synonym
plan:idea			IsA	IsA
agreement:contract			IsA	Synonym
date:point			IsA	IsA
board:table			IsA	Synonym
set:member			IsA	MadeOf
city:crowd			IsA	HasProperty
air:water			IsA	Antonym
letter:text			IsA	IsA
light:white			IsA	Synonym
color:blue			IsA	HasProperty
music:information			IsA	HasA
earth:moon			IsA	HasA
air:atmosphere			IsA	Synonym
cup:plate			IsA	Antonym
hand:finger			IsA	Antonym
top:cover			IsA	IsA
adventure:game			IsA	IsA
spirit:light			IsA	HasProperty
pleasure:joy			IsA	Synonym
puppy:dog			IsA	IsA
mouse:computer			IsA	PartOf
mind:person			IsA	PartOf
practice:theory			IsA	Antonym
land:ocean			IsA	Antonym
paper:article			IsA	IsA
will:purpose			IsA	IsA
back:main			IsA	Antonym
action:performance			IsA	Synonym
base:top			IsA	Antonym
father:priest			IsA	Synonym
side:edge			IsA	Synonym
touch:sight			IsA	Antonym
bone:tissue			IsA	Antonym
arch:bridge			IsA	PartOf
age:life			IsA	PartOf
garden:place			IsA	IsA
america:democracy			IsA	IsA
experience:education			IsA	IsA
meat:animal			IsA	MadeOf
forest:land			IsA	IsA
parent:family			IsA	MemberOf
sugar:juice			IsA	PartOf
side:back			IsA	Antonym
game:action			IsA	IsA
violence:action			IsA	IsA
net:goal			IsA	IsA
water:wood			IsA	Antonym
china:asia			IsA	PartOf
fear:love			IsA	Antonym
purpose:object			IsA	Synonym
act:performance			IsA	PartOf
glass:orange			IsA	HasProperty
child:boy			IsA	Synonym
board:committee			IsA	Synonym
minister:government			IsA	PartOf
rise:change			IsA	IsA
foot:toe			IsA	Antonym
shop:buy			IsA	Entails
enjoyment:fun			IsA	Synonym
christian:church			IsA	MemberOf
bedroom:house			IsA	PartOf
earth:space			IsA	Antonym
box:seat			IsA	IsA
home:residence			Antonym	Synonym
great:small			IsA	Antonym
father:leader			IsA	IsA
class:teacher			IsA	Antonym
bit:key			IsA	PartOf
house:big			IsA	HasProperty
computer:hardware			IsA	MadeOf
seat:support			IsA	IsA
police:person			IsA	IsA
fireplace:fire			IsA	HasA
imagination:mind			IsA	PartOf
cat:eye			IsA	HasA
function:purpose			IsA	Synonym
home:office			IsA	Antonym
everything:matter			IsA	MadeOf
bathroom:sink			IsA	HasA
star:constellation			IsA	PartOf
bedroom:room			IsA	IsA
theory:fact			IsA	Antonym
nothing:something			IsA	Antonym
page:cover			IsA	Antonym
toilet:bathroom			IsA	PartOf
music:speech			IsA	Antonym
blue:color			IsA	IsA
object:tool			IsA	IsA
computer:screen			IsA	HasA
milk:cheese			IsA	Antonym
girl:man			IsA	Antonym
support:pressure			IsA	Antonym
monitor:tv			IsA	IsA
accident:event			IsA	Synonym
head:leader			IsA	IsA
look:touch			IsA	Antonym
love:war			IsA	Antonym
woman:baby			IsA	HasA
wine:alcohol			IsA	HasA
person:god			IsA	HasProperty
horse:leg			IsA	HasA
competition:sport			IsA	PartOf
party:fun			IsA	IsA
earth:clay			IsA	Synonym
song:album			IsA	PartOf
cement:concrete			IsA	PartOf
book:magazine			IsA	Antonym
bird:eye			IsA	HasA
white:color			IsA	IsA
fruit:water			IsA	HasA
work:recreation			IsA	Antonym
face:surface			IsA	Synonym
disease:illness			IsA	IsA
bag:fabric			IsA	MadeOf
coach:teacher			IsA	IsA
balance:account			IsA	Synonym
country:state			IsA	HasA
god:church			Antonym	PartOf
intersection:road			IsA	PartOf
father:son			IsA	Antonym
action:movement			IsA	Synonym
piece:collection			IsA	PartOf
beach:shore			IsA	IsA
book:collection			IsA	IsA
everyone:standard			IsA	HasA
pay:payment			IsA	IsA
window:frame			IsA	HasA
page:work			IsA	IsA
cancer:growth			IsA	Synonym
lady:woman			IsA	Synonym
dress:gown			IsA	Synonym
information:book			IsA	PartOf
record:information			IsA	HasA
seed:fruit			IsA	IsA
earth:planet			IsA	Synonym
work:leisure			IsA	Antonym
elephant:trunk			IsA	HasA
kid:play			IsA	HasProperty
waste:refuse			IsA	Synonym
fire:element			IsA	IsA
seat:bed			IsA	Antonym
foot:body			IsA	PartOf
juice:milk			IsA	Antonym
program:performance			IsA	IsA
union:marriage			IsA	Synonym
world:country			IsA	MadeOf
plant:action			IsA	IsA
television:tv			IsA	IsA
woman:breast			IsA	HasA
bench:court			IsA	PartOf
story:fact			IsA	Antonym
group:set			IsA	Synonym
boy:girl			IsA	Antonym
king:royal			IsA	HasProperty
light:knowledge			IsA	Synonym
apartment:home			IsA	IsA
joy:sorrow			IsA	Antonym
library:place			IsA	IsA
practice:trial			IsA	Synonym
bar:support			IsA	IsA
hour:day			IsA	PartOf
stone:wood			IsA	Antonym
house:furniture			IsA	HasA
everybody:nobody			IsA	Antonym
mailbox:mail			IsA	HasA
phone:ring			IsA	Synonym
water:cold			IsA	HasProperty
wife:child			IsA	HasA
hand:body			IsA	PartOf
face:head			IsA	PartOf
person:hair			HasA	HasA
car:vehicle			IsA	Synonym
hospital:patient			IsA	HasA
mouth:face			IsA	PartOf
light:energy			IsA	MadeOf
book:text			IsA	IsA
well:water			IsA	HasA
gate:wall			IsA	Antonym
car:bike			IsA	Antonym
day:night			IsA	Antonym
cup:drink			IsA	HasA
religion:culture			IsA	PartOf
coffee:water			IsA	MadeOf
middle:part			IsA	IsA
crop:weed			IsA	Antonym
brook:water			IsA	MadeOf
mind:mood			IsA	Synonym
court:residence			IsA	IsA
department:division			IsA	IsA
green:red			IsA	Antonym
everything:nothing			IsA	Antonym
family:order			IsA	MemberOf
man:nature			IsA	PartOf
spirit:person			IsA	IsA
air:oxygen			IsA	HasA
tissue:skin			IsA	PartOf
night:darkness			IsA	Synonym
power:control			IsA	Synonym
hall:room			IsA	Antonym
affection:love			IsA	Synonym
house:white			IsA	HasProperty
bottle:beer			IsA	HasA
map:information			IsA	HasA
deal:lot			IsA	Synonym
love:lover			IsA	Synonym
boyfriend:girlfriend			IsA	Antonym
home:street			IsA	Antonym
lid:top			IsA	IsA
radio:tv			IsA	Antonym
ocean:sea			IsA	IsA
trunk:car			IsA	PartOf
money:value			IsA	HasA
help:trouble			IsA	Antonym
child:young			IsA	HasProperty
edinburgh:place			IsA	IsA
doorway:wall			IsA	PartOf
punishment:crime			IsA	Antonym
bathroom:toilet			IsA	HasA
statement:fact			IsA	IsA
bicycle:bike			IsA	Synonym
street:pavement			IsA	MadeOf
top:foot			IsA	Antonym
sand:soil			IsA	Antonym
house:lawn			IsA	HasA
energy:electron			IsA	MadeOf
break:change			IsA	IsA
garden:yard			IsA	IsA
car:red			IsA	HasProperty
nut:bolt			IsA	PartOf
action:energy			IsA	Synonym
sister:family			IsA	PartOf
oil:water			IsA	Antonym
love:care			IsA	IsA
defeat:end			IsA	IsA
america:continent			IsA	IsA
minute:hour			IsA	PartOf
novel:story			IsA	IsA
line:letter			IsA	PartOf
camp:fun			IsA	HasProperty
society:club			IsA	IsA
play:film			IsA	IsA
camp:place			IsA	IsA
form:word			IsA	IsA
sorrow:life			IsA	PartOf
material:fabric			IsA	Synonym
division:union			Antonym	Antonym
god:human			IsA	IsA
stone:water			IsA	Antonym
music:television			IsA	Antonym
lemon:orange			IsA	Antonym
population:person			IsA	Antonym
enemy:friend			IsA	Antonym
man:staff			IsA	IsA
nice:france			IsA	PartOf
bus:coach			IsA	Synonym
profit:benefit			IsA	Antonym
capital:town			IsA	Antonym
voice:sound			IsA	IsA
husband:family			IsA	PartOf
glass:window			IsA	PartOf
chicken:vegetable			IsA	Antonym
cloud:water			Antonym	HasA
bar:place			IsA	IsA
agreement:deal			IsA	Synonym
fun:free			IsA	HasProperty
page:record			IsA	Synonym
mind:idea			IsA	Synonym
person:water			Antonym	MadeOf
chapter:book			IsA	PartOf
toy:fun			IsA	HasProperty
heart:organ			IsA	IsA
fire:ice			IsA	Antonym
set:number			IsA	HasA
music:tune			IsA	HasA
question:problem			IsA	Synonym
waste:use			IsA	Antonym
page:paper			IsA	MadeOf
mail:post			IsA	Synonym
trade:business			IsA	IsA
religion:ideology			IsA	IsA
root:tree			IsA	PartOf
word:number			IsA	Antonym
sign:mark			IsA	Synonym
game:rule			IsA	HasA
earth:word			IsA	IsA
country:population			IsA	HasA
car:machine			IsA	IsA
mankind:nature			IsA	PartOf
organ:body			IsA	PartOf
bread:meat			IsA	Antonym
window:glass			IsA	MadeOf
roof:ceiling			IsA	Synonym
control:power			IsA	IsA
land:shore			IsA	Antonym
water:ice			IsA	Antonym
frame:picture			IsA	PartOf
earth:object			IsA	IsA
birth:death			IsA	Antonym
everything:data			IsA	IsA
friend:lover			IsA	Antonym
joint:body			IsA	PartOf
division:business			IsA	MemberOf
shower:bathroom			IsA	PartOf
ram:computer			IsA	PartOf
sound:fun			IsA	HasProperty
bar:business			IsA	IsA
leaf:plant			IsA	PartOf
nose:face			IsA	PartOf
